Gene	t_all	t_sub	t_vis	t_status	t_location	t_interaction
ADGRL2	1.842	1.696	1.2	2.08	-2.451	-0.5274
PRKACB	-0.8254	-0.994	-0.2025	-0.7751	-0.9709	0.4857
DNASE2B	-0.3109	-0.9083	0.7218	-0.1492	-4.848	1.164
WDR63	0.4859	0.895	0.006538	0.819	-4.479	-0.8525
LOC646626	0.978	1.048	0.3214	0.9149	1.832	-0.449
CLCA1	1.926	0.934	1.926	2.085	-1.91	0.7639
CLCA4	-0.1724	-1.94	1.409	-0.158	-0.2409	2.336
SH3GLB1	0.7535	-0.1579	1.16	0.7984	-0.9392	0.9586
LMO4	0.6904	0.6746	0.2432	0.6611	0.417	-0.3471
GBP1P1	1.489	1.153	1.096	1.588	4.366	0.1153
ZNF326	-0.02262	-0.6152	0.5854	-0.02322	0.01867	0.8514
CDC7	0.2321	-0.2785	0.8601	0.4297	-3.363	0.7928
KIAA1107	0.4017	-0.1396	0.6689	0.3883	0.1544	0.5599
CCDC18	-1.332	-0.7803	-1.15	-1.37	0.8704	-0.1294
DR1	1.58	0.141	2.149	1.672	-1.443	1.424
FNBP1L	0.8443	2.638	-0.1609	1.158	-3.69	-1.518
LOC729970	0.5709	0.2106	0.5532	0.5569	0.1178	0.2375
PTBP2	0.2504	0.4427	-0.1333	0.2347	0.2437	-0.4266
SNX7	-1.317	-0.5911	-1.399	-1.285	-0.2825	-0.2192
PLPPR4	1.208	1.331	0.5715	1.377	-2.206	-0.6599
PALMD	0.9186	0.9609	0.5261	1.043	-1.893	-0.2932
AGL	-1.98	-2.4	-0.4588	-1.984	-2.482	1.464
SLC35A3	0.9516	1.108	0.2318	0.9468	-0.1728	-0.6554
MFSD14A	-0.8344	-1.645	0.4513	-0.7888	-0.8174	1.5
TRMT13	-0.5365	-0.7219	-0.331	-0.6951	2.48	0.18
RTCA	-1.474	-1.16	-1.03	-1.567	1.458	0.1381
VCAM1	0.8571	0.06689	1.218	0.8527	5.244	0.7038
LOC102606465	0.04165	-0.1669	0.1445	0.01962	0.4301	0.214
S1PR1	1.5	1.488	0.6545	1.533	-0.8151	-0.6827
PRMT6	-1.582	-1.261	-0.8541	-1.53	-0.9779	0.4758
NTNG1	-1.784	-3.778	-1.472	-3	6.882	0.4726
VAV3-AS1	-0.8436	-0.6226	-0.7043	-0.939	1.591	-0.2175
GPSM2	-1.219	-1.355	-0.143	-1.177	-2.616	1.071
SCARNA2	-0.1148	0.1983	-0.506	-0.2432	2.425	-0.4961
KIAA1324	-0.4503	-0.9166	0.01683	-0.6124	2.596	0.664
SARS	1.373	0.6079	1.727	1.542	-2.138	0.4769
CYB561D1	-0.2427	0.3681	-0.7238	-0.1829	-1.22	-0.7388
CSF1	0.9615	1.191	1.521	1.948	-7.898	0.1833
CHI3L2	-1.068	-1.081	-0.1155	-1.017	-2.7	0.9622
PIFO	-1.123	-0.5705	-0.9848	-1.066	-1.287	-0.09142
ATP5PB	-0.8838	-0.7965	-0.3761	-0.8608	-0.2143	0.4073
C1orf162	-0.07813	-0.4232	0.2066	-0.1552	1.515	0.4538
DDX20	0.007925	0.3101	-0.1416	0.09194	-1.675	-0.3127
WNT2B	0.06531	-0.1152	-0.01461	-0.07635	2.954	0.05475
SLC16A1-AS1	-0.7025	-0.2609	-1.049	-0.8527	2.271	-0.3849
LRIG2	-1.159	-0.6452	-0.8987	-1.101	-1.683	-0.09316
DCLRE1B	-0.3317	-0.5114	0.2737	-0.2264	-2.563	0.5819
VANGL1	-0.6704	-0.6922	-0.195	-0.6425	-6.535	0.398
SLC22A15	-0.514	-1.479	0.3933	-0.5079	0.02776	1.186
PTGFRN	0.9448	0.2865	0.9809	0.9041	0.642	0.443
TTF2	-0.223	-0.09191	-0.2098	-0.2124	-0.1484	-0.06347
MAN1A2	0.1335	0.4961	-0.2256	0.187	-1.068	-0.518
TENT5C	-0.4002	0.1798	-0.9687	-0.6152	3.316	-0.8188
WDR3	1.815	2.33	0.8232	1.822	-0.5295	-0.4341
WARS2-AS1	-0.8368	-0.6562	-0.9461	-1.163	3.806	-0.3787
SRGAP2C	-0.333	0.07294	-0.8897	-0.6545	4.753	-0.7092
EMBP1	-0.1387	0.1071	-0.9377	-0.4218	4.915	-0.578
SRGAP2D	-0.1431	0.2955	-0.8023	-0.4103	4.65	-0.7783
RNVU1-15	0.6167	0.6742	0.0951	0.5259	3.568	-0.4048
LSP1P5	0.3194	0.333	0.4617	0.5704	-3.916	0.2242
FAM72D	-0.6766	0.3637	-0.9897	-0.7015	0.6233	-1.009
RNVU1-14	0.09241	0.1074	-0.2792	-0.1089	4.424	-0.2619
LINC01719	-0.2726	-0.271	0.01251	-0.2204	-1.042	0.2429
HYDIN2	0.4939	0.2937	0.3529	0.454	0.724	-0.04264
RNVU1-3	1.182	0.9969	0.8963	1.231	4.62	0.3643
FCGR1A	1.577	1.261	1.258	1.789	5.244	-0.3218
C1orf54	0.5316	0.3221	0.3582	0.4826	0.9518	0.09657
CIART	1.537	2.686	0.1342	1.486	1.614	-1.35
ECM1	-1.384	-0.2582	-1.634	-1.395	-3.437	-0.9827
FALEC	0.695	0.8348	0.08984	0.6903	-0.1066	-0.6002
ANXA9	-1.088	-0.8135	-1.207	-1.47	3.912	-0.4503
MLLT11	0.3811	1.127	-0.396	0.2327	5.318	-0.926
PSMD4	0.1292	0.2068	0.04902	0.1672	-0.7745	-0.0957
ZNF687	0.1977	0.5117	-0.0681	0.1585	0.7545	-0.2878
GBAT2	-0.3366	-0.7352	0.1628	-0.3238	-0.1615	0.5952
CGN	0.7833	-0.6751	1.535	0.769	5.602	1.585
TUFT1	-0.02108	-0.4936	0.1579	-0.2046	3.605	0.4524
MIR554	-0.8299	0.5935	-1.693	-0.8746	0.9395	-1.626
SPRR3	-1.135	-0.2808	-1.664	-1.355	2.665	-0.8771
LOR	0.05576	-0.9283	0.7443	-0.02567	1.65	1.169
S100A9	-0.5279	-0.8368	-0.3499	-0.8869	4.643	0.4968
SNAPIN	-0.4695	0.3902	-1.167	-0.4151	-1.101	-1.009
NPR1	-0.3383	0.4914	-0.8006	-0.2626	-1.656	-0.9109
IL6R	-0.2403	0.1427	-0.4374	-0.2523	0.3028	-0.4173
TDRD10	-0.03493	-0.1126	-0.2609	-0.273	4.593	-0.1056
CKS1B	0.1209	0.3406	0.3054	0.463	-5.927	-0.04617
ZBTB7B	0.7801	0.1672	0.8008	0.7182	1.431	0.4538
SLC50A1	-0.2123	-0.263	0.03619	-0.14	-1.51	0.2014
MIR92B	-0.6369	-0.1675	-0.7926	-0.6023	-0.5604	-0.2913
FDPS	-0.07391	0.5824	-0.4038	0.1525	-4.917	-0.7102
SYT11	0.1502	0.07733	0.4137	0.3877	-4.162	0.2753
LAMTOR2	-0.06657	-0.1263	0.2168	0.03043	-1.986	0.2305
LMNA	-0.4074	0.04125	-0.3651	-0.2981	-2.972	-0.3215
SEMA4A	0.5532	0.4601	0.1455	0.4628	2.592	-0.3077
SLC25A44	1.068	1.142	0.2334	1.02	0.876	-0.7589
NAXE	0.408	0.722	-0.1248	0.4581	-1.009	-0.6448
PEAR1	0.2754	0.8394	-0.5292	0.3286	-1.061	-1.005
KIRREL1	1.792	1.145	1.532	1.832	-0.9108	-0.184
CD1A	0.392	-0.198	0.8994	0.4051	-0.361	0.694
CD1C	0.03155	-0.1647	0.335	0.01622	0.2978	0.3051
CD1E	0.3589	0.05247	0.3904	0.2786	1.802	0.177
MNDA	0.4741	-0.3994	0.8483	0.364	3.493	0.8803
PYHIN1	-1.578	-0.8117	-1.468	-1.552	-0.0712	-0.1537
FCER1A	0.7088	0.4582	0.5558	0.653	1.162	-0.2282
DUSP23	1.389	1.561	0.4111	1.478	-1.428	-1.043
SLAMF8	-0.2998	-0.4991	0.2355	-0.1997	-2.33	0.5341
LINC01133	-0.8097	-0.4607	-0.9406	-1.051	3.099	-0.6505
PEA15	-0.293	0.4081	-0.3921	-0.06848	-8.691	-0.5556
SLAMF7	-0.1185	-0.2452	0.541	0.1619	-6.707	0.5287
LY9	-1.302	-1.031	-0.8523	-1.248	-1.679	-0.2156
NDUFS2	0.7206	-0.07499	1.257	0.7008	0.1949	0.783
SDHC	0.6762	-0.1129	1.266	0.6653	0.02331	0.8117
HSPA6	0.9455	0.7662	0.5633	0.96	5.087	-0.252
HSPA7	0.7383	0.3543	0.6019	0.6746	4.235	0.1038
DUSP12	-1.016	-1.025	-0.3984	-0.9536	-1.991	0.3606
ATF6	-0.4987	-1.019	-0.6615	-1.055	6.597	-0.09294
UHMK1	0.6396	-0.7388	1.098	0.5912	0.9258	1.289
UAP1	0.4549	0.59	-0.01223	0.4571	-0.1708	-0.4911
DDR2	0.1876	0.2974	0.07733	0.2945	-1.997	-0.2198
HSD17B7	-0.628	-0.8349	-0.04146	-0.6658	0.8247	0.6404
NUF2	-0.3385	-0.4616	0.576	-0.1983	-4.036	0.6637
MGST3	-0.194	-0.1628	0.2123	0.05878	-6.996	0.2646
POGK	-1.353	-0.6743	-1.118	-1.306	-0.752	-0.3694
MPZL1	0.7339	-0.3212	1.044	0.6748	1.288	1.008
TIPRL	0.56	0.3056	0.5251	0.6062	-0.9512	0.1743
TBX19	-0.179	-0.3614	0.08644	-0.2187	0.8143	0.3409
XCL1	0.2168	-0.2279	0.3632	0.07435	3.407	0.4094
ATP1B1	-1.245	-1.313	-0.6129	-1.259	-3.853	0.2935
C1orf112	1.606	1.568	0.9884	1.604	-0.3527	0.1049
GORAB	0.2136	0.7023	-0.1079	0.3005	-1.646	-0.4927
PRRX1	0.2533	0.4566	0.864	0.8856	-8.871	0.08466
FMO3	0.317	0.4404	0.2851	0.5271	-3.386	-0.1747
FMO2	1.991	1.081	1.591	1.939	1.053	0.5864
FMO1	-0.897	-0.5885	-0.642	-0.8422	-3.382	0.2327
FMO4	0.3153	0.2862	0.04171	0.2361	1.74	-0.1864
DNM3	0.1893	0.4697	-0.02232	0.2891	-1.874	-0.3345
SUCO	-0.2915	-0.3902	-0.3463	-0.4975	3.376	-0.09067
DARS2	0.5275	0.02038	1	0.7044	-2.706	0.6347
GAS5-AS1	1.062	0.963	0.9352	1.36	-3.333	-0.07302
ZBTB37	-0.07344	-0.5836	0.2437	-0.2644	3.602	0.6078
GPR52	-0.4401	-0.6475	0.0844	-0.516	1.414	0.6255
TNN	0.6465	0.6077	0.5831	0.854	-2.931	-0.07351
LINC01645	-1.141	-0.807	-0.9345	-1.241	1.582	0.05008
RASAL2	0.6016	0.06436	1.693	1.214	-6.676	1.064
RALGPS2	-0.8607	-1.116	-0.7867	-1.132	3.318	-0.3018
FAM20B	1.539	2.917	-0.2799	1.52	-0.07577	-2.111
SOAT1	-0.8671	-1.126	0.4419	-0.7986	-2.197	1.248
XPR1	0.8348	0.6974	1.249	1.365	-5.363	0.23
MR1	-0.8225	-0.784	-0.2619	-0.7877	-0.5147	0.4966
CACNA1E	-0.278	-1.306	0.5196	-0.3744	1.778	1.224
LAMC1	0.7305	0.9894	0.243	1.002	-3.466	-0.8366
RGL1	0.5946	1.167	-0.4563	0.5011	3.397	-1.175
C1orf21	0.3701	0.1694	0.6429	0.6008	-3.559	0.3397
RNF2	-0.5046	0.1233	-0.8651	-0.4208	-2.106	-0.5951
HMCN1	0.8957	0.6725	0.905	1.09	-2.595	-0.07339
PRG4	0.03647	0.1032	-0.3012	-0.2252	5.463	-0.3042
OCLM	1.231	0.5583	1.046	1.181	0.8872	0.4252
LINC01036	-2.409	-1.423	-2.101	-2.367	-0.1519	0.1781
RGS18	-0.6025	-1.119	-0.2909	-0.9671	4.529	0.5709
RGS1	-0.9926	-0.9947	-0.4271	-0.9692	-0.1913	0.3426
RGS13	-0.4353	-0.3852	-0.3645	-0.5363	1.782	0.01836
RGS2	0.05829	-0.4329	0.3162	-0.1889	5.295	0.5462
CFH	0.2706	-0.1046	1.463	0.5561	-4.489	0.7137
C1orf53	-0.1424	-0.02646	-0.1812	-0.1607	0.3993	-0.1179
NEK7	-0.08136	0.06511	-0.337	-0.2225	2.692	-0.2914
NR5A2	0.779	1.359	0.07098	1.021	-3.136	-0.973
PKP1	-0.6868	-0.2042	-0.674	-0.6543	-0.4953	-0.351
SHISA4	-0.4512	-0.5376	-0.1733	-0.4611	0.3159	0.1976
TIMM17A	-0.05654	0.7526	-0.4918	0.04028	-1.975	-0.8412
RNPEP	-2.234	-0.9906	-2.224	-2.187	-0.3928	-0.5087
PPP1R12B	0.9829	1.056	0.2826	0.9196	2.066	-0.5334
TMEM183A	-1.166	-0.7264	-0.8468	-1.13	-0.4489	-0.07628
ADORA1	0.4539	-0.7074	0.9128	0.3601	2.425	1.135
BTG2	0.9948	0.481	0.8708	0.9468	3.168	0.1599
PRELP	-0.2778	-0.3724	0.03949	-0.2267	-1.018	0.2935
ATP2B4	-0.3201	-0.8491	0.8526	-0.1086	-9.637	1.206
LINC00260	-0.343	0.06701	-0.6269	-0.3488	0.2103	-0.432
LAX1	1.158	1.783	-0.1073	1.119	0.5112	-1.348
SNRPE	0.1765	1.103	-0.2977	0.3734	-3.462	-0.8845
NFASC	0.4728	0.3208	0.1437	0.3547	4.415	-0.2234
LOC284581	1.094	1.263	0.2582	1.037	2.242	-0.6951
LOC103021295	1.604	1.187	1.087	1.576	0.1109	0.1912
SRGAP2	-0.4689	-0.08411	-0.9721	-0.7643	4.119	-0.6035
IKBKE	-1.281	-1.272	-0.2769	-1.226	-1.742	0.9943
RASSF5	0.5837	0.1544	0.5971	0.5034	2.101	0.2325
DYRK3	0.4535	0.5408	1.001	1.103	-7.668	0.2663
IL19	0.34	0.8098	-0.4453	0.3501	-0.2924	-0.929
IL20	0.8071	0.1637	0.8887	0.7747	0.4579	0.5085
C4BPB	1.485	1.312	1.639	2.108	8.63	0.06553
C4BPA	-1.002	-0.4244	-1.148	-1.155	2.15	-0.529
CD55	-0.001164	-0.3249	0.3215	-0.1606	3.181	0.4397
CR1	0.3525	-0.2364	0.7077	0.1728	8.166	0.566
CR1L	0.4265	-0.2515	1.075	0.2976	8.644	0.7236
LOC148696	-1.184	-1.13	-0.505	-1.156	-0.2278	0.469
CAMK1G	-0.1634	-0.5166	0.4362	-0.125	-0.7444	0.6835
G0S2	-0.5279	-0.6363	-0.5576	-0.8579	4.356	0.156
HSD11B1	0.362	-0.2974	0.9542	0.436	-1.398	0.8483
TRAF3IP3	-0.1085	-0.2279	-0.2352	-0.332	4.063	0.007652
UTP25	-1.15	0.09739	-1.589	-1.097	-1.105	-1.181
HHAT	-1.192	-1.722	-0.08741	-1.139	-2.169	1.063
TRAF5	-1.974	-1.586	-1.306	-2.021	0.9963	0.002127
LINC00467	0.1551	-0.01223	0.3047	0.2026	-0.9575	0.208
DTL	0.5851	0.6404	0.8727	1.064	-5.595	0.004858
SNORA16B	0.05112	-0.646	0.6715	0.05378	-0.06793	0.93
NENF	-0.1374	-0.3127	0.3273	0.03061	-3.801	0.4516
ATF3	0.8375	0.5469	0.7428	0.9202	-1.438	0.06591
TATDN3	-0.05479	0.369	-0.708	-0.2362	3.476	-0.7493
FLVCR1	-1.031	-0.6662	-0.8486	-1.092	1.162	-0.2137
VASH2	-0.6484	-2.349	0.7751	-0.7228	1.36	2.047
PROX1	1.306	0.2715	1.603	1.34	4.001	0.8905
SMYD2	-0.9703	-0.5328	-0.7195	-0.9065	-1.988	-0.2055
CENPF	-0.5462	0.161	-1.576	-0.4466	-3.38	-0.7214
KCTD3	-0.08176	0.2718	-0.2361	-0.006742	-1.525	-0.3555
RRP15	0.7658	1.516	-0.09017	0.8987	-2.046	-1.086
IARS2	-0.211	-0.5206	0.306	-0.0592	-3.667	0.5569
MARK1	1.6	0.9623	1.578	1.73	-1.763	0.06063
MARC1	-0.2673	-1.018	0.2136	-0.4329	2.84	0.7973
FAM177B	-1.331	-0.4755	-1.855	-1.677	3.429	-0.938
DISP1	0.04045	0.3634	-0.3077	-0.05086	1.848	-0.4564
CAPN2	0.2043	1.141	-0.01715	0.6299	-6.632	-0.6861
CNIH4	0.438	-0.1637	1.102	0.6784	-3.561	0.8716
EPHX1	0.2328	-0.4767	0.6125	0.2048	0.5077	0.7663
PSEN2	-0.08468	-0.5785	1.158	0.05476	-2.946	1.067
HIST3H2BB	1.228	0.7884	0.9386	1.227	3.602	0.3229
RNF187	-0.2793	-1.053	1.225	-0.1208	-4.342	1.584
COG2	-0.1251	-0.5242	0.3757	-0.02404	-2.128	0.6196
ARV1	-0.3189	-0.1894	-0.07998	-0.1907	-3.367	0.08127
DISC1-IT1	0.6206	0.6294	0.09616	0.5329	2.833	-0.4231
NTPCR	1.465	1.839	0.601	1.451	-0.1379	-0.468
COA6	-0.1927	-0.6945	0.4316	-0.1376	-1.108	0.7911
GGPS1	-1.055	-0.9566	-0.5769	-1.033	-0.1465	0.1244
TBCE	0.9511	0.7323	0.756	1.048	-1.581	-0.2211
GPR137B	-0.2344	-0.2918	0.1147	-0.1308	-2.328	0.296
